date,Title,Content,Author,Corporate Author
10 October 2024,,"Government spokesperson Moses Kunkuyu has dismissed claims by the Democratic Progressive Party that MCP is behind the social economic challenges which Malawians are facing 
He says everyone in the country was there during the DPP regime, and they all know that it was them that brought the challenges.
Kunkuyu adds that it is a lie that corruption levels have increased under the MCP government, as there is no party that has shown more interest in fighting corruption than the MCP.",Zuleika Nanguwo,Zodiak Online
10 October 2024,,"DPP Director of Youth Norman Chisale says it is worrisome that the Malawi Police Service has still not concluded its investigations into the violence that happened at Mbowe in Lilongwe in February this year, which left some DPP members injured.
The party has given the Inspector General two days to look into the issue, claiming that the DPP already submitted the service names of the culprits.",Zuleika Nanguwo,Zodiak Online
10 October 2024,,"DPP Director of Operations Charles Mchacha has warned that if government does not address the issues raised, they will lead nationwide demonstrations demanding government to address them.",Zuleika Nanguwo,Zodiak Online
10 October 2024,,"DPP Presidential Advisor Gladys Ganda says no Malawian died of hunger during the time they were in government.
She says constant strikes by civil servants in different sectors is an indication that the MCP government has failed.
Ganda adds that President Chakwera should reduce his entourage on his international trips in order to save resources. She has also advised Chakwera to start delegating his ministers or principal secretaries on local trips. ",Zuleika Nanguwo,Zodiak Online
10 October 2024,,"DPP Presidential Advisor on Elections Jean Mathanga has concurred with previous speakers at the party’s presser that the national identity card should not be the sole identification in next year’s tripartite elections.
She says not every eligible voter has a national ID, which will stop them from voting in the polls, violating their right to vote.
Mathanga has since encouraged the citizenry to register when the voter registration exercise begins this month. ",Zuleika Nanguwo,Zodiak Online
10 October 2024,,"DPP’s Director of Women, Mary Navicha, has assured Malawians that no one will rig next year’s polls, as both the party and the donor community have their eyes on what is happening in the country concerning the forthcoming elections.
Navicha says Malawians have less than 11 months before they are bailed out of the challenges they are facing as DPP will be back in government next year.",Zuleika Nanguwo,Zodiak Online
10 October 2024,,"DPP Director of Political Affairs Ben Phiri claims the government has bought new vehicles for its officials when the money could have been used to procure drugs at a time the country is facing drug shortages in its public hospitals.
He has assured Malawians that the Democratic Progressive Party will be back in government next year, describing it as the only party that empathises with people’s suffering and addresses them.",Zuleika Nanguwo,Zodiak Online
10 October 2024,,Leader of Opposition George Chaponda says the speaker of the house must resign or will move for her impeachment claiming that parliament is no longer independent.,Zuleika Nanguwo,Zodiak Online
10 October 2024,,"Leader of Opposition Dr. George Chaponda has concurred with DPP’s Secretary General Peter Mukhito that the issues being discussed at the presser should have been presented in parliament.
He has admitted that they have failed to represent Malawians in that aspect, claiming that the speaker of the house has been a shield blocking the opposition from presenting such issues in the August House.",Zuleika Nanguwo,Zodiak Online
10 October 2024,,"The Democratic Progressive Party (DPP) has called on President Lazarus Chakwera to fire the secretary to his office and cabinet, Colleen Zamba, for allegedly being involved in the dubious fuel deal, among other allegations, and Minister of Agriculture Sam Kawale and Minister of Transport Jacob Hara.
The party has asked the Anti-Corruption Bureau to investigate the allegations made against the stated government officials.",Zuleika Nanguwo,Zodiak Online
