TITLE,DATE,AUTHOR,CORPORATE AUTHOR,CONTENT
,FEB 25 2020,,Malawi Independent,"Democratic Progressive Party and United Democratic Front on Tuesday announced a working alliance with indirect condemnation at MCP for living up to its dictatorship days as a party of violence and bloodshed. In their joint statement and in speeches by leaders of the two parties, MCP's violence of the past 11 months kept recurring, in some cases wrapped in messages of the importance of peace, love and unity -- values which the two parties said they prize highly as they are central to Malawi's development. In the statement, DPP and UDF said their alliance comes at a time when some politicians are threatening the peace and stability which this country has enjoyed for many years."
,OCT 13 2024,,Malawi Independent,"Malawi Congress Party is fielding a son of Zikhale Ng’oma Kamajekete in Ntcheu Central constituency as an independent MP in the run to 2025 elections , His name is Wongani Ng’oma.. Please , please , chonde anthu aku Ntcheu , Say NO to son of Zikhale Ng’oma , Wongani Ng’oma. His father took a hand in the murder of Vice President Saulos Klaus Chilima who was one of your own . Don’t be stupid to betray Biyeni Saulos Chilima by voting for a son of Ken Zikhale Ng’oma by the name of Wongani Ng’oma."
,OCT 13 2024,,Malawi Independent,Chakwera’s push ups push cooking oil prices up 
,OCT 13 2024,,Malawi Independent,"Exposed  123 days after the Vice President Saulos Chilima was killed in a plane crash and three weeks after the uncovering of illegal contracts worth over K1.5 trillion orchestrated by his own office- President Chakwera sees no need to react, act or even respond to Malawians but less than 24 hours of social media rumours of his health, he organized a parade, video and street push ups like a circus patron. Secretary to the President and Cabinet Colleen Zamba seems to have been appointed by President Chakwera to manage looting and transfer of public funds in a shocking state capture that involved fake companies, accounts of the Presidents relations and embarrassing fake statements with wrong logos. "
,OCT 10 2024,,Malawi Independent,"On 19 September we revealed plans by NRB and MEC hosting their servers in Netherlands as part of rigging in favor of MCP. Today , platform for investigative journalism has hinted on what we established."
,OCT 10 2024,,Malawi Independent,USA government speaks on the plots by outgoing Malawi Congress Party to rig the 2025 elections . “Let all eligible voters register to vote “ and do not “Suppress or make difficult voting process “.
,OCT 9 2024,,Malawi Independent,"This publication can reveal that State House has cancelled all the appointments that President Chakwera had today and tommorow's Cabinet meeting has been rescheduled to a later date, due to what State House has called  ""Unforseen Circumstances"" There are reports from undisclosed sources that the Outgoing President who was hit hard by stroke last week is critically ill. More details to follow."
CHAKWERA'S ILLNESS WORSENS.,OCT 9 2024,,Malawi Independent,"There is a sombre at State house as the outgoing President is reported to have fainted three times today as his illness worsens, according to our source at State House who asked for anonymity. Chakwera suffered stroke last week when he was in the United States of America. The outgoing President has been under immense pressure to institute commission of inquiry to establish what transpired before and after  the death of Vice President Saulos Chilima. Meanwhile, Chakwera has also been hit by resignation of three senior cabinet ministers a thing that led to detoriation of his health. We will keep you updated."
,OCT 9 2024,,Malawi Independent,It never rains but pours for poor Malawians under the incompetent leadership of outgoing President Lazarus Chakwera.
,OCT 8 2024,,Malawi Independent,"JUST IN As earlier reported by this Publication, MCP controlled Malawi Police  Service has summoned DPP Vice President for South, Joseph Mwanamveka to police headquarters. Malawi Congress Party is planning to harass and intimidate DPP top officials with arrests and property fortification. More details to follow."
