Date,Title,Content,Author,Corporate Author,Class
3/27/2023,,"Leader of the House in Parliament, Richard Chimwendo Banda has told the House that the country is on course of rising again from the pangs of cyclone Freddy that has caused unprecedented misery to Malawians.
Chimwendo was speaking in Parliament on Monday, March 27, 2023 during deliberations of 2023/2024 National Budget meeting.
He told the August House that amidst the challenges that have hit the global economy and not sparing Malawi’s own economy, the country still is “set for the rise” through the budget, Minister of Finance Sosten Gwengwe presented in the House which has several developmental projects that have been lined up to benefit the local masses.",,Malawi Voice,0
FEB 25 2020,,"President Peter Mutharika is this morning set to hold a press briefing at the Kamuzu Palace in Lilongwe at 10 am. State House has not indicated the issues the President plans to address during the briefing. The briefing comes barely a day after Parliament passed the contentious electoral reform bills, clearing the way for a rerun on May 19 this year.",,Times 360 Malawi,1
,Veep Usi sets ball rolling ,"Vise – President Michael Usi has set the ball rolling with an engagement with creative sector players. 
Yesterday, Usi had a 99- minute closed door meeting with musicians and theatre players at Amaryllis Hotel in Blantyre. 
Speaking in an interview later, the vise- president said the engagement himself an accomplished actor, sought to remind the artist of their role in an era marred by so much misinformation. 
He said; “Firstly, we are looking at Malawi as our country and we should seek what we need to do for it to develop by offering hope to the people, 
“We are living in a world where a lot are said especially on social media which leave people into despair. Artists know how to use their talent to inform people about reality.” 
Usi urged artist to show love to the country and the same should be true for every Malawian. 
The Veep said artists are strategecilly placed to inform the citizenry what is going on around them. 
He said there is more to art than just entertainment touting its element of education as one crucial component of the trade. 
“This does not mean that they should not voice out their concerns or peoples expectations. That is part of their role, and it will be respected. They should help build, construct and consolidate hope among the people,” he said. 
The Vice – president said the development of arts is not a one – man job, but something which will require the involvement of partner. 
He said; ""We will have to sit down and look at the Acts and policies guiding the industry. It is not incumbent upon me to dictate that we change this and that. It will be an interactive process.” Usi also used the opportunity to pay tribute to music icon Lucious Banda who died in South Africa on Sunday. He described his death as tragedy. Seasoned musician Overtone Chimombo said the meeting with the veep gave them an opportunity to discuss pertinent issues affecting the sector. The establishment of Arts council remains key for the industry. We need to have council in place to ensure that the sector jerked into action,” said.  ",,National Publications Limited,1
9/26/2024,THE FUTURE BELONGS TO MALAWI - CHAKWERA,"Malawi President His Excellency Dr Lazarus McCarthy Chakwera presented his speech at UN general assembly in New York USA. Chakwera stressed on the need of mitigating climate change and fostering equality amongst UN member states.
Chakwera also challenged UN member states to consider giving two permanent seats to African Countries in UN security council if the world is to make progress. Chakwera hinted importance of inclusivity among member states.
At the summit many African countries are presenting their speech with almost empty hall including Malawi's speech. Experts have criticized UN member states for shunning poor countries at UN assembly.",,Times Exclusive,0
14/11/2022,GOVT FAULTS APM CRITICISM OF ECONOMY ,"The Government has said common sense would say that an institution that messed up the economy of the country could not be engaged on issues of how to develop a sound economy. Minister of Information and Digitization Gospel Kazako was reacting to Democratic Progressive Progressive Party (DPP) leader Peter Mutharika, who accused the Tonse Alliance administration of running down the country's 
Economy. Mutharika, who governed Malawi from 2014 to June 2020, said at a news conference in Mangochi on Friday that President Lazarus Chakwera and his Tonse Alliance haw destroyed all foundations his administration put in place. He further said the President has plunged the country into fuel crisis. forex shortages, sky rocketing food prices and messed up Affordable Inputs Programme (AIP) and Admarc. But Kazako, who is also official government spokesperson, said yesterday the Chakwera administration was clearing the economic mess the previous DPP government left. He said. ""On claims that we have failed Malawians, Malawians have suffered for a very long time, including the time he was president. This country has been economically down to the extent that the citizens had to lower their standards to submit. We still see poverty all over. ""Various reports have confirmed Malawians have been poor for many years, including the years DPP was in government. We hope they are not living in the illusion of the Singapore they promised Malawians."" Kazako said low quality logic indicates that one cannot solve a problem by involving the same people that created it in the first place. 
He said the goverment cannot solve problems in this country with the same gang that destroved this country. The former president also blasted the Tonse Alliance for failing Malawians by falling to uplift uplift their lives economically. Answering questions on reports that the Anti-Corruption Bureau may arrest and prosecute him, his wife Gertrude and son Tadikira over abuse of his Tpin when he was president, he said: ""I do not understand it because Malawi Revenue Authority and the bureau already interviewed me on the issue here in my house."" ",Frank Namangale,National Publications Limited,1
FEB 11 2020,,"MEC Commissioner Linda Kunje is asked to leave the PAC meeting for being rude and uncooperative. The committee will determine her fate in five minutes. Kunje bangs the door on her way out, disappointing the PAC members.",Taonga Sabola,Times 360 Malawi,1
31/08/2022,APM BLAMES CHAKWERA ON POWER BLACKOUTS ,"Immediate past president Mutharika weighed in on the prevailing energy crisis in the country by blaming President Lazarus Chakwera-led Tonse Alliance government decision to cancel the Aggreko Contract. In a press statement release yesterday and signed by his spokesperson shadrick namalomba, the former president faulted both minster of information and digitization, Gospel Kazako and minister of energy, Ibrahim Matola for fingering his Democratic Progressive Party Administration as the main cause of the current government power blackouts. He said the two ministers missed an opportunity to tell Malawians the truth about the blackouts, saying that they are a direct result of the cancellation of the only lifeline contract with Aggreko.  Reads the statment in part: Government has deliberately departed from the truth about the ongoing and endless electricity blackouts. President Chakwera cancelled the only lifeline contract with Aggreko which was providing an additional 78 Megawatts. ",Chikondi  Moyo,National Publications Limited,1
FEB 13 2020,,"HRDC Chairperson Timothy Mtambo states that the Malawi Defence Force will be custodians of the keys for MEC Lilongwe Offices, implying that the shutdown automatically fires MEC Chairperson Jane Ansah and her commissioners.",,Times 360 Malawi,1
9/27/2024,,Malawi Voice comfortably confirm that Second Deputy Speaker of Parliament Aisha Adams has resigned from her position as Chair for UDF convention because she was pressured to invite MCP to the convention by senior party officials which was against her conscious.,,Malawi Voice,0
JAN 14 2020,,"Reyneck Matemba says that where necessary, they will waive some of the bureaucratic steps required by the act guiding the bureau to ensure the case is handled within the time they have.",,Times 360 Malawi,1
